,Year,Source title,Period,counts
0,2023,American Journal of Ophthalmology Case Reports,2014 - 2023,1
1,2023,European Journal of Haematology,2014 - 2023,1
2,2023,International Journal of Environmental Research and Public Health,2014 - 2023,1
3,2023,Genes,2014 - 2023,1
4,2023,Eye (Basingstoke),2014 - 2023,1
5,2023,Frontiers in Medicine,2014 - 2023,1
6,2023,Frontiers in Genetics,2014 - 2023,1
7,2023,Case Reports in Ophthalmology,2014 - 2023,1
8,2023,Graefe's Archive for Clinical and Experimental Ophthalmology,2014 - 2023,1
9,2023,Experimental Biology and Medicine,2014 - 2023,1
10,2023,Indian Journal of Medical Research,2014 - 2023,1
11,2023,Frontiers in Medicine,2014 - 2023,1
12,2023,Retinal Cases and Brief Reports,2014 - 2023,1
13,2023,Pathology Research and Practice,2014 - 2023,1
14,2023,Journal of Pediatric Hematology/Oncology,2014 - 2023,1
15,2022,Cochrane Database of Systematic Reviews,2014 - 2023,1
16,2022,Bahrain Medical Bulletin,2014 - 2023,1
17,2022,High Altitude Medicine and Biology,2014 - 2023,1
18,2022,Life,2014 - 2023,1
19,2022,Hematology/Oncology Clinics of North America,2014 - 2023,1
20,2022,International Journal of Retina and Vitreous,2014 - 2023,1
21,2022,Proceedings of the National Academy of Sciences of the United States of America,2014 - 2023,1
22,2022,European Journal of Ophthalmology,2014 - 2023,1
23,2022,Frontiers in Cardiovascular Medicine,2014 - 2023,1
24,2022,Journal of Women's Health,2014 - 2023,1
25,2022,Pharmacological Reviews,2014 - 2023,1
26,2022,British Journal of Haematology,2014 - 2023,1
27,2022,Deutsche Medizinische Wochenschrift,2014 - 2023,1
28,2022,Blood Advances,2014 - 2023,1
29,2022,PLoS ONE,2014 - 2023,1
30,2022,Retinal Cases and Brief Reports,2014 - 2023,1
31,2022,Journal Francais d'Ophtalmologie,2014 - 2023,1
32,2022,Eye (Basingstoke),2014 - 2023,1
33,2022,American Journal of Medicine,2014 - 2023,1
34,2022,Canadian Journal of Ophthalmology,2014 - 2023,1
35,2022,JAMA,2014 - 2023,1
36,2022,"Revista Cubana de Hematologia, Inmunologia y Hemoterapia",2014 - 2023,1
37,2022,Retinal Cases and Brief Reports,2014 - 2023,1
38,2022,Annals of Medicine and Surgery,2014 - 2023,1
39,2022,Journal Francais d'Ophtalmologie,2014 - 2023,1
40,2022,American Journal of Ophthalmology Case Reports,2014 - 2023,1
41,2022,Eye (Basingstoke),2014 - 2023,1
42,2022,Journal of VitreoRetinal Diseases,2014 - 2023,1
43,2022,New England Journal of Medicine,2014 - 2023,1
44,2022,American Journal of Ophthalmology,2014 - 2023,1
45,2022,American Journal of Ophthalmology Case Reports,2014 - 2023,1
46,2022,Seminars in Thrombosis and Hemostasis,2014 - 2023,1
47,2022,Experimental Biology and Medicine,2014 - 2023,1
48,2022,Acta Haematologica,2014 - 2023,1
49,2022,BMJ Open Ophthalmology,2014 - 2023,1
50,2022,Journal of Clinical Medicine,2014 - 2023,1
51,2022,British Journal of Ophthalmology,2014 - 2023,1
52,2022,Albert and Jakobiec's Principles and Practice of Ophthalmology: Fourth Edition,2014 - 2023,1
53,2022,Albert and Jakobiec's Principles and Practice of Ophthalmology: Fourth Edition,2014 - 2023,1
54,2022,Albert and Jakobiec's Principles and Practice of Ophthalmology: Fourth Edition,2014 - 2023,1
55,2022,Ocular Immunology and Inflammation,2014 - 2023,1
56,2022,ASN Neuro,2014 - 2023,1
57,2022,International Journal of Clinical Practice,2014 - 2023,1
58,2022,Pediatric Annals,2014 - 2023,1
59,2022,International Journal of Hematology,2014 - 2023,1
60,2021,Medicine (United States),2014 - 2023,1
61,2021,Genes,2014 - 2023,1
62,2021,International Journal of Clinical Practice,2014 - 2023,1
63,2021,BMC Pulmonary Medicine,2014 - 2023,1
64,2021,Blood,2014 - 2023,1
65,2021,Indian journal of ophthalmology,2014 - 2023,1
66,2021,Ophthalmic Surgery Lasers and Imaging Retina,2014 - 2023,1
67,2021,Stem Cells Translational Medicine,2014 - 2023,1
68,2021,Biomedical Physics and Engineering Express,2014 - 2023,1
69,2021,Frontiers in Medicine,2014 - 2023,1
70,2021,QJM,2014 - 2023,1
71,2021,Annals of African Medicine,2014 - 2023,1
72,2021,Journal Francais d'Ophtalmologie,2014 - 2023,1
73,2021,Eye (Basingstoke),2014 - 2023,1
74,2021,Ophthalmologe,2014 - 2023,1
75,2021,Frontiers in Physiology,2014 - 2023,1
76,2021,Journal of VitreoRetinal Diseases,2014 - 2023,1
77,2021,European Journal of Ophthalmology,2014 - 2023,1
78,2021,Advances in Ophthalmology and Optometry,2014 - 2023,1
79,2021,Clinical Journal of Pain,2014 - 2023,1
80,2021,British Journal of Ophthalmology,2014 - 2023,1
81,2021,Ophthalmology Retina,2014 - 2023,1
82,2021,Haematologica,2014 - 2023,1
83,2021,"Retina (Philadelphia, Pa.)",2014 - 2023,1
84,2021,Pediatric Blood and Cancer,2014 - 2023,1
85,2021,Ophthalmology Retina,2014 - 2023,1
86,2021,Journal of Clinical Investigation,2014 - 2023,1
87,2021,Ophthalmologica,2014 - 2023,1
88,2021,Cells,2014 - 2023,1
89,2021,American Journal of Ophthalmology,2014 - 2023,1
90,2021,Journal of Stroke and Cerebrovascular Diseases,2014 - 2023,1
91,2021,Journal of the National Medical Association,2014 - 2023,1
92,2021,JAMA Ophthalmology,2014 - 2023,1
93,2021,JAMA Ophthalmology,2014 - 2023,1
94,2021,JAMA Ophthalmology,2014 - 2023,1
95,2021,British Journal of Haematology,2014 - 2023,1
96,2021,"Blood Cells, Molecules, and Diseases",2014 - 2023,1
97,2021,International Eye Science,2014 - 2023,1
98,2021,The Lancet,2014 - 2023,1
99,2021,Therapeutic Advances in Ophthalmology,2014 - 2023,1
100,2021,Turkish Journal of Pediatrics,2014 - 2023,1
101,2021,Hemoglobin,2014 - 2023,1
102,2021,Hematology (United Kingdom),2014 - 2023,1
103,2021,Journal of Medical Investigation,2014 - 2023,1
104,2021,Turkish Journal of Ophthalmology,2014 - 2023,1
105,2021,Journal of International Medical Research,2014 - 2023,1
106,2021,Oftalmologiya,2014 - 2023,1
107,2021,Annals of Internal Medicine,2014 - 2023,1
108,2021,British Journal of Haematology,2014 - 2023,1
109,2021,Ophthalmic Epidemiology,2014 - 2023,1
110,2020,American Journal of Ophthalmology Case Reports,2014 - 2023,1
111,2020,Scientific Reports,2014 - 2023,1
112,2020,Annals of the Royal College of Surgeons of England,2014 - 2023,1
113,2020,JAMA Ophthalmology,2014 - 2023,1
114,2020,Journal of Medical Economics,2014 - 2023,1
115,2020,Graefe's Archive for Clinical and Experimental Ophthalmology,2014 - 2023,1
116,2020,Pharmaceuticals,2014 - 2023,1
117,2020,Transfusion,2014 - 2023,1
118,2020,Frontiers in Immunology,2014 - 2023,1
119,2020,International Ophthalmology Clinics,2014 - 2023,1
120,2020,Retina Today,2014 - 2023,1
121,2020,Journal of Pediatric Hematology/Oncology,2014 - 2023,1
122,2020,Advances in Ophthalmology and Optometry,2014 - 2023,1
123,2020,American Journal of Hematology,2014 - 2023,1
124,2020,British Journal of Haematology,2014 - 2023,1
125,2020,International Journal of Research in Pharmaceutical Sciences,2014 - 2023,1
126,2020,Ophthalmic Epidemiology,2014 - 2023,1
127,2020,American Journal of Hematology,2014 - 2023,1
128,2020,PLoS ONE,2014 - 2023,1
129,2020,American Journal of Hematology,2014 - 2023,1
130,2020,"Eye (London, England)",2014 - 2023,1
131,2020,Journal Francais d'Ophtalmologie,2014 - 2023,1
132,2020,British Journal of Ophthalmology,2014 - 2023,1
133,2020,Revista Brasileira de Oftalmologia,2014 - 2023,1
134,2020,Ophthalmic Surgery Lasers and Imaging Retina,2014 - 2023,1
135,2020,Nigerian Journal of Clinical Practice,2014 - 2023,1
136,2020,Journal of Pediatric Hematology/Oncology,2014 - 2023,1
137,2020,Experimental Biology and Medicine,2014 - 2023,1
138,2020,Data in Brief,2014 - 2023,1
139,2020,ClinicoEconomics and Outcomes Research,2014 - 2023,1
140,2020,Case Reports in Ophthalmology,2014 - 2023,1
141,2020,Revista Brasileira de Oftalmologia,2014 - 2023,1
142,2020,Clinical Ophthalmology,2014 - 2023,1
143,2020,Journal of Ophthalmic and Vision Research,2014 - 2023,1
144,2020,Journal Francais d'Ophtalmologie,2014 - 2023,1
145,2020,Graefe's Archive for Clinical and Experimental Ophthalmology,2014 - 2023,1
146,2019,International Journal of Retina and Vitreous,2014 - 2023,1
147,2019,Journal of Clinical Medicine,2014 - 2023,1
148,2019,Retina,2014 - 2023,1
149,2019,Pathology Research and Practice,2014 - 2023,1
150,2019,Retina,2014 - 2023,1
151,2019,International Ophthalmology Clinics,2014 - 2023,1
152,2019,International Journal of Retina and Vitreous,2014 - 2023,1
153,2019,Transfusion Clinique et Biologique,2014 - 2023,1
154,2019,Journal of Clinical Medicine,2014 - 2023,1
155,2019,Biology of Blood and Marrow Transplantation,2014 - 2023,1
156,2019,Journal of Clinical Medicine,2014 - 2023,1
157,2019,Journal of Diabetes and its Complications,2014 - 2023,1
158,2019,Blood Reviews,2014 - 2023,1
159,2019,Journal of Current Ophthalmology,2014 - 2023,1
160,2019,Retinal cases & brief reports,2014 - 2023,1
161,2019,International Wound Journal,2014 - 2023,1
162,2019,Journal of Pediatric Hematology/Oncology,2014 - 2023,1
163,2019,Ophthalmology,2014 - 2023,1
164,2019,British Journal of Ophthalmology,2014 - 2023,1
165,2019,Journal of Clinical Medicine,2014 - 2023,1
166,2019,American Journal of Ophthalmology,2014 - 2023,1
167,2019,Ophthalmology Retina,2014 - 2023,1
168,2019,Translational Vision Science and Technology,2014 - 2023,1
169,2019,BMJ Open Ophthalmology,2014 - 2023,1
170,2019,Archivos de la Sociedad Espanola de Oftalmologia,2014 - 2023,1
171,2019,Blood Reviews,2014 - 2023,1
172,2019,European Journal of Ophthalmology,2014 - 2023,1
173,2019,Blood Advances,2014 - 2023,1
174,2019,Middle East African Journal of Ophthalmology,2014 - 2023,1
175,2019,Biomedical Optics Express,2014 - 2023,1
176,2019,Annals of Hematology,2014 - 2023,1
177,2019,Translational Vision Science and Technology,2014 - 2023,1
178,2019,Biophysical Properties in Glaucoma: Diagnostic Technologies,2014 - 2023,1
179,2019,Handbook of Pediatric Retinal OCT and the Eye-Brain Connection,2014 - 2023,1
180,2019,Ultrasonography,2014 - 2023,1
181,2019,Mediterranean Journal of Hematology and Infectious Diseases,2014 - 2023,1
182,2019,Pan African Medical Journal,2014 - 2023,1
183,2019,Clinical Ophthalmology,2014 - 2023,1
184,2019,Haematologica,2014 - 2023,1
185,2019,Graefe's Archive for Clinical and Experimental Ophthalmology,2014 - 2023,1
186,2019,Clinical Hemorheology and Microcirculation,2014 - 2023,1
187,2019,Clinical Hemorheology and Microcirculation,2014 - 2023,1
188,2019,Clinical Hemorheology and Microcirculation,2014 - 2023,1
189,2019,BMJ Case Reports,2014 - 2023,1
190,2019,Journal Francais d'Ophtalmologie,2014 - 2023,1
191,2019,American Journal of Ophthalmology,2014 - 2023,1
192,2019,Retina,2014 - 2023,1
193,2018,Ophthalmology Retina,2014 - 2023,1
194,2018,Diabetes Care,2014 - 2023,1
195,2018,British Journal of Haematology,2014 - 2023,1
196,2018,Jornal de Pediatria,2014 - 2023,1
197,2018,Bioscience Reports,2014 - 2023,1
198,2018,Bioscience Reports,2014 - 2023,1
199,2018,Journal of AAPOS,2014 - 2023,1
200,2018,Journal of AAPOS,2014 - 2023,1
201,2018,Stem Cell Reviews and Reports,2014 - 2023,1
202,2018,Bioscience Reports,2014 - 2023,1
203,2018,Expert Review of Ophthalmology,2014 - 2023,1
204,2018,Eye (Basingstoke),2014 - 2023,1
205,2018,BMC Ophthalmology,2014 - 2023,1
206,2018,American Journal of Hematology,2014 - 2023,1
207,2018,Eye (Basingstoke),2014 - 2023,1
208,2018,American Journal of Ophthalmology,2014 - 2023,1
209,2018,Canadian Journal of Ophthalmology,2014 - 2023,1
210,2018,British Journal of Haematology,2014 - 2023,1
211,2018,Journal of Clinical and Diagnostic Research,2014 - 2023,1
212,2018,Ophthalmology Retina,2014 - 2023,1
213,2018,Journal of AAPOS,2014 - 2023,1
214,2018,Seminars in Ophthalmology,2014 - 2023,1
215,2018,PLoS ONE,2014 - 2023,1
216,2018,British Journal of Haematology,2014 - 2023,1
217,2018,Haematologica,2014 - 2023,1
218,2018,Investigative Ophthalmology and Visual Science,2014 - 2023,1
219,2018,PLoS ONE,2014 - 2023,1
220,2018,Pediatric Blood and Cancer,2014 - 2023,1
221,2018,BMJ Case Reports,2014 - 2023,1
222,2018,Clinical hemorheology and microcirculation,2014 - 2023,1
223,2018,Journal Francais d'Ophtalmologie,2014 - 2023,1
224,2017,Revista da Associacao Medica Brasileira,2014 - 2023,1
225,2017,Hematology/Oncology Clinics of North America,2014 - 2023,1
226,2017,Current Opinion in Ophthalmology,2014 - 2023,1
227,2017,American Journal of Ophthalmology,2014 - 2023,1
228,2017,Survey of Ophthalmology,2014 - 2023,1
229,2017,Clinical Chemistry and Laboratory Medicine,2014 - 2023,1
230,2017,American Journal of Hematology,2014 - 2023,1
231,2017,Expert Review of Ophthalmology,2014 - 2023,1
232,2017,Ocular Oncology and Pathology,2014 - 2023,1
233,2017,Biomedical Optics Express,2014 - 2023,1
234,2017,Journal Francais d'Ophtalmologie,2014 - 2023,1
235,2017,Cytokine,2014 - 2023,1
236,2017,Revue de Medecine Interne,2014 - 2023,1
237,2017,Journal of Multidisciplinary Healthcare,2014 - 2023,1
238,2017,PLoS ONE,2014 - 2023,1
239,2017,Biomedical Optics Express,2014 - 2023,1
240,2017,Pediatric Blood and Cancer,2014 - 2023,1
241,2017,Pan African Medical Journal,2014 - 2023,1
242,2017,eLife,2014 - 2023,1
243,2017,Ophthalmology and Therapy,2014 - 2023,1
244,2017,Taiwan Journal of Ophthalmology,2014 - 2023,1
245,2017,Investigative Ophthalmology and Visual Science,2014 - 2023,1
246,2017,Journal of Clinical and Diagnostic Research,2014 - 2023,1
247,2017,American Journal of Ophthalmology,2014 - 2023,1
248,2017,Retina Today,2014 - 2023,1
249,2017,Biomedical Optics Express,2014 - 2023,1
250,2017,Journal Francais d'Ophtalmologie,2014 - 2023,1
251,2017,British Journal of Haematology,2014 - 2023,1
252,2017,Nitric Oxide - Biology and Chemistry,2014 - 2023,1
253,2017,BMC Ophthalmology,2014 - 2023,1
254,2017,Journal of Obstetrics and Gynaecology,2014 - 2023,1
255,2017,Reactive Oxygen Species in Biology and Human Health,2014 - 2023,1
256,2017,Journal of Pediatric Hematology/Oncology,2014 - 2023,1
257,2017,BMJ Case Reports,2014 - 2023,1
258,2017,Revista Brasileira de Hematologia e Hemoterapia,2014 - 2023,1
259,2016,International Journal of Retina and Vitreous,2014 - 2023,1
260,2016,Antioxidants and Redox Signaling,2014 - 2023,1
261,2016,Investigative Ophthalmology and Visual Science,2014 - 2023,1
262,2016,American Journal of Ophthalmology Case Reports,2014 - 2023,1
263,2016,Expert Review of Ophthalmology,2014 - 2023,1
264,2016,Pharmacotherapy,2014 - 2023,1
265,2016,Southern Medical Journal,2014 - 2023,1
266,2016,Southern Medical Journal,2014 - 2023,1
267,2016,European Journal of Ophthalmology,2014 - 2023,1
268,2016,European Journal of Ophthalmology,2014 - 2023,1
269,2016,Acta Haematologica,2014 - 2023,1
270,2016,Population Health Management,2014 - 2023,1
271,2016,Revista Brasileira de Hematologia e Hemoterapia,2014 - 2023,1
272,2016,PLoS ONE,2014 - 2023,1
273,2016,Investigative Ophthalmology and Visual Science,2014 - 2023,1
274,2016,"Blood Cells, Molecules, and Diseases",2014 - 2023,1
275,2016,Hemoglobin,2014 - 2023,1
276,2016,Thrombosis Research,2014 - 2023,1
277,2016,Experimental Biology and Medicine,2014 - 2023,1
278,2016,Blood Reviews,2014 - 2023,1
279,2016,Stroke,2014 - 2023,1
280,2016,American Journal of Hematology,2014 - 2023,1
281,2016,Retina,2014 - 2023,1
282,2016,Clinical Hemorheology and Microcirculation,2014 - 2023,1
283,2016,The Curated Reference Collection in Neuroscience and Biobehavioral Psychology,2014 - 2023,1
284,2016,Retina,2014 - 2023,1
285,2016,Sickle Cell Anemia: From Basic Science to Clinical Practice,2014 - 2023,1
286,2016,Sickle Cell Anemia: From Basic Science to Clinical Practice,2014 - 2023,1
287,2016,Journal of Ophthalmic and Vision Research,2014 - 2023,1
288,2016,Middle East African Journal of Ophthalmology,2014 - 2023,1
289,2016,American Journal of Hematology,2014 - 2023,1
290,2016,Ophthalmic Surgery Lasers and Imaging Retina,2014 - 2023,1
291,2016,Journal of Clinical and Diagnostic Research,2014 - 2023,1
292,2015,American Family Physician,2014 - 2023,1
293,2015,American Journal of Hematology,2014 - 2023,1
294,2015,Ophthalmology,2014 - 2023,1
295,2015,British Journal of Haematology,2014 - 2023,1
296,2015,Journal of Pediatric Hematology/Oncology,2014 - 2023,1
297,2015,Cochrane Database of Systematic Reviews,2014 - 2023,1
298,2015,Retinal Cases and Brief Reports,2014 - 2023,1
299,2015,Indian Journal of Ophthalmology,2014 - 2023,1
300,2015,International Journal of Lower Extremity Wounds,2014 - 2023,1
301,2015,British Journal of Ophthalmology,2014 - 2023,1
302,2015,American Journal of Hematology,2014 - 2023,1
303,2015,American Journal of Ophthalmology,2014 - 2023,1
304,2015,American Journal of Ophthalmology,2014 - 2023,1
305,2015,Acta Ophthalmologica,2014 - 2023,1
306,2015,Klinische Monatsblatter fur Augenheilkunde,2014 - 2023,1
307,2015,American Journal of Hematology,2014 - 2023,1
308,2015,Biology of Blood and Marrow Transplantation,2014 - 2023,1
309,2015,Pediatric Blood and Cancer,2014 - 2023,1
310,2015,Archives of Cardiovascular Diseases,2014 - 2023,1
311,2015,"Blood Cells, Molecules, and Diseases",2014 - 2023,1
312,2015,Retina,2014 - 2023,1
313,2015,European Journal of Haematology,2014 - 2023,1
314,2015,Pan African Medical Journal,2014 - 2023,1
315,2015,Gaceta Medica de Mexico,2014 - 2023,1
316,2015,"Blood cells, molecules & diseases",2014 - 2023,1
317,2015,Haematologica,2014 - 2023,1
318,2015,Haematologica,2014 - 2023,1
319,2015,Haematologica,2014 - 2023,1
320,2015,Lasers in Medical Science,2014 - 2023,1
321,2014,Hematology (United States),2014 - 2023,1
322,2014,Indian Journal of Hematology and Blood Transfusion,2014 - 2023,1
323,2014,Pan African Medical Journal,2014 - 2023,1
324,2014,Drugs of the Future,2014 - 2023,1
325,2014,Revue du Praticien,2014 - 2023,1
326,2014,JAMA - Journal of the American Medical Association,2014 - 2023,1
327,2014,Revista Brasileira de Hematologia e Hemoterapia,2014 - 2023,1
328,2014,Revista Brasileira de Hematologia e Hemoterapia,2014 - 2023,1
329,2014,Haematologica,2014 - 2023,1
330,2014,Hematology/Oncology Clinics of North America,2014 - 2023,1
331,2014,BMJ (Online),2014 - 2023,1
332,2014,Pathobiology of Human Disease: A Dynamic Encyclopedia of Disease Mechanisms,2014 - 2023,1
333,2014,Open Ophthalmology Journal,2014 - 2023,1
334,2014,South African Medical Journal,2014 - 2023,1
335,2014,Investigative ophthalmology & visual science,2014 - 2023,1
336,2014,Internal Medicine,2014 - 2023,1
337,2014,Future Medicinal Chemistry,2014 - 2023,1
338,2014,Emergency Medicine Clinics of North America,2014 - 2023,1
339,2014,"Revista Cubana de Hematologia, Inmunologia y Hemoterapia",2014 - 2023,1
340,2014,American Journal of Hematology,2014 - 2023,1
341,2014,CONTINUUM Lifelong Learning in Neurology,2014 - 2023,1
342,2014,Current Opinion in Ophthalmology,2014 - 2023,1
343,2014,American Journal of Ophthalmology,2014 - 2023,1
344,2013,Clinical Hemorheology and Microcirculation,2004 - 2013,1
345,2013,Cochrane Database of Systematic Reviews,2004 - 2013,1
346,2013,Consultant,2004 - 2013,1
347,2013,Arquivos Brasileiros de Oftalmologia,2004 - 2013,1
348,2013,Ophthalmic Surgery Lasers and Imaging Retina,2004 - 2013,1
349,2013,Progress in Retinal and Eye Research,2004 - 2013,1
350,2013,BMJ Case Reports,2004 - 2013,1
351,2013,Retinal Cases and Brief Reports,2004 - 2013,1
352,2013,British Journal of Haematology,2004 - 2013,1
353,2013,Transactions of the Royal Society of Tropical Medicine and Hygiene,2004 - 2013,1
354,2013,Asian Journal of Pharmaceutical and Clinical Research,2004 - 2013,1
355,2013,Annual Review of Medicine,2004 - 2013,1
356,2013,Best Practice and Research: Clinical Obstetrics and Gynaecology,2004 - 2013,1
357,2013,Arquivos Brasileiros de Oftalmologia,2004 - 2013,1
358,2012,Retinal Cases and Brief Reports,2004 - 2013,1
359,2012,Journal of Biomedicine and Biotechnology,2004 - 2013,1
360,2012,Current Opinion in Ophthalmology,2004 - 2013,1
361,2012,Journal of Clinical and Diagnostic Research,2004 - 2013,1
362,2012,American Journal of Hematology,2004 - 2013,1
363,2012,Arquivos Brasileiros de Oftalmologia,2004 - 2013,1
364,2012,"Obstetrics, Gynaecology and Reproductive Medicine",2004 - 2013,1
365,2012,Haematologica,2004 - 2013,1
366,2012,Diabetes Spectrum,2004 - 2013,1
367,2012,Medical Retina,2004 - 2013,1
368,2012,Journal Francais d'Ophtalmologie,2004 - 2013,1
369,2012,PLoS ONE,2004 - 2013,1
370,2012,"Journal of Ayub Medical College, Abbottabad : JAMC",2004 - 2013,1
371,2012,West Indian Medical Journal,2004 - 2013,1
372,2012,BMJ Case Reports,2004 - 2013,1
373,2011,Neurology,2004 - 2013,1
374,2011,American Journal of Ophthalmology,2004 - 2013,1
375,2011,Arquivos Brasileiros de Oftalmologia,2004 - 2013,1
376,2011,Medicine,2004 - 2013,1
377,2011,Hemoglobin,2004 - 2013,1
378,2011,Arquivos Brasileiros de Oftalmologia,2004 - 2013,1
379,2011,European Journal of Ophthalmology,2004 - 2013,1
380,2011,Retina,2004 - 2013,1
381,2011,Journal of Leukocyte Biology,2004 - 2013,1
382,2011,Journal of AAPOS,2004 - 2013,1
383,2011,Archives of Ophthalmology,2004 - 2013,1
384,2011,Journal of pediatric ophthalmology and strabismus,2004 - 2013,1
385,2011,Revista Brasileira de Oftalmologia,2004 - 2013,1
386,2011,American Journal of Ophthalmology,2004 - 2013,1
387,2011,Biomedical and Pharmacology Journal,2004 - 2013,1
388,2011,Pediatric Blood and Cancer,2004 - 2013,1
389,2010,Nigerian quarterly journal of hospital medicine,2004 - 2013,1
390,2010,Capsula Eburnea,2004 - 2013,1
391,2010,Experimental Eye Research,2004 - 2013,1
392,2010,American Journal of Hematology,2004 - 2013,1
393,2010,Survey of Ophthalmology,2004 - 2013,1
394,2010,Clinical Journal of the American Society of Nephrology,2004 - 2013,1
395,2010,"Blood Cells, Molecules, and Diseases",2004 - 2013,1
396,2010,Ocular Immunology and Inflammation,2004 - 2013,1
397,2010,Retina,2004 - 2013,1
398,2010,"Blood Cells, Molecules, and Diseases",2004 - 2013,1
399,2010,BMJ Case Reports,2004 - 2013,1
400,2010,Annals of Tropical Paediatrics,2004 - 2013,1
401,2010,Thrombosis Research,2004 - 2013,1
402,2010,Encyclopedia of the Eye,2004 - 2013,1
