,Year,Source title,Period,counts
403,2010,"Encyclopedia of the Eye, Four-Volume Set",2004 - 2013,1
404,2010,Retina Today,2004 - 2013,1
405,2010,Revista Brasileira de Oftalmologia,2004 - 2013,1
406,2009,Journal Francais d'Ophtalmologie,2004 - 2013,1
407,2009,Methods and Findings in Experimental and Clinical Pharmacology,2004 - 2013,1
408,2009,Experimental Hematology,2004 - 2013,1
409,2009,Rawal Medical Journal,2004 - 2013,1
410,2009,"Blood Cells, Molecules, and Diseases",2004 - 2013,1
411,2009,Journal Francais d'Ophtalmologie,2004 - 2013,1
412,2009,American Journal of Medicine,2004 - 2013,1
413,2009,"Revista Cubana de Hematologia, Inmunologia y Hemoterapia",2004 - 2013,1
414,2009,A Practical Manual of Diabetic Retinopathy Management,2004 - 2013,1
415,2009,Clinical Rheumatology,2004 - 2013,1
416,2009,Genomics Insights,2004 - 2013,1
417,2009,Arquivos Brasileiros de Oftalmologia,2004 - 2013,1
418,2009,Journal Francais d'Ophtalmologie,2004 - 2013,1
419,2009,Revue de Medecine Interne,2004 - 2013,1
420,2009,Eye,2004 - 2013,1
421,2008,Seminars in Arthritis and Rheumatism,2004 - 2013,1
422,2008,Neurosciences,2004 - 2013,1
423,2008,Clinical and Refractive Optometry,2004 - 2013,1
424,2008,BMJ,2004 - 2013,1
425,2008,Undersea and Hyperbaric Medicine,2004 - 2013,1
426,2008,Japanese Journal of Clinical Ophthalmology,2004 - 2013,1
427,2008,Proteomics - Clinical Applications,2004 - 2013,1
428,2008,International Ophthalmology,2004 - 2013,1
429,2008,Tunisie Medicale,2004 - 2013,1
430,2008,Pediatric Blood and Cancer,2004 - 2013,1
431,2008,Journal Francais d'Ophtalmologie,2004 - 2013,1
432,2008,American Journal of Emergency Medicine,2004 - 2013,1
433,2008,Annals of the New York Academy of Sciences,2004 - 2013,1
434,2008,Archives of Ophthalmology,2004 - 2013,1
435,2008,Lab on a Chip,2004 - 2013,1
436,2008,European Journal of Ophthalmology,2004 - 2013,1
437,2008,Canadian Journal of Ophthalmology,2004 - 2013,1
438,2007,Retinal Vascular Disease,2004 - 2013,1
439,2007,Retinal Vascular Disease,2004 - 2013,1
440,2007,Optometry,2004 - 2013,1
441,2007,Revista Brasileira de Hematologia e Hemoterapia,2004 - 2013,1
442,2007,Pediatrics in Review,2004 - 2013,1
443,2007,Acta Haematologica,2004 - 2013,1
444,2007,Scandinavian Journal of Clinical and Laboratory Investigation,2004 - 2013,1
445,2007,"Nanotoxicology: Characterization, Dosing and Health Effects",2004 - 2013,1
446,2007,Optometry,2004 - 2013,1
447,2007,Journal of Pediatric Ophthalmology and Strabismus,2004 - 2013,1
448,2006,Acta Ophthalmologica Scandinavica,2004 - 2013,1
449,2006,Tropical Doctor,2004 - 2013,1
450,2006,Pediatrics,2004 - 2013,1
451,2006,Haematologica,2004 - 2013,1
452,2006,Medecine Tropicale,2004 - 2013,1
453,2006,Journal of Neurology,2004 - 2013,1
454,2006,Evidence-Based Ophthalmology,2004 - 2013,1
455,2006,West African Journal of Medicine,2004 - 2013,1
456,2006,American Journal of Hematology,2004 - 2013,1
457,2006,Brazilian Journal of Medical and Biological Research,2004 - 2013,1
458,2006,Archives of Ophthalmology,2004 - 2013,1
459,2005,Journal of Thrombosis and Haemostasis,2004 - 2013,1
460,2005,Vision Research,2004 - 2013,1
461,2005,Medicine,2004 - 2013,1
462,2005,Archives of Ophthalmology,2004 - 2013,1
463,2005,Hematology/Oncology Clinics of North America,2004 - 2013,1
464,2005,Irish Medical Journal,2004 - 2013,1
465,2005,Archives of Ophthalmology,2004 - 2013,1
466,2005,International Journal of Behavioral Medicine,2004 - 2013,1
467,2005,British Journal of Ophthalmology,2004 - 2013,1
468,2005,Diabetes,2004 - 2013,1
469,2005,The Nigerian postgraduate medical journal,2004 - 2013,1
470,2005,Ophthalmology,2004 - 2013,1
471,2005,Journal Francais d'Ophtalmologie,2004 - 2013,1
472,2005,Mayo Clinic Proceedings,2004 - 2013,1
473,2004,Revista Brasileira de Oftalmologia,2004 - 2013,1
474,2004,Revue du Praticien,2004 - 2013,1
475,2004,European Journal of Internal Medicine,2004 - 2013,1
476,2004,Italian Journal of Pediatrics,2004 - 2013,1
477,2004,Microcirculation,2004 - 2013,1
478,2004,Journal Francais d'Ophtalmologie,2004 - 2013,1
479,2004,Ophthalmologe,2004 - 2013,1
480,2004,The Nigerian postgraduate medical journal,2004 - 2013,1
481,2004,Pediatrics,2004 - 2013,1
482,2003,JK Practitioner,1994 - 2003,1
483,2003,Experimental Eye Research,1994 - 2003,1
484,2003,Journal of the National Medical Association,1994 - 2003,1
485,2003,Investigative Ophthalmology and Visual Science,1994 - 2003,1
486,2003,Indian Journal of Ophthalmology,1994 - 2003,1
487,2003,American Journal of Hematology,1994 - 2003,1
488,2003,Canadian Journal of Ophthalmology,1994 - 2003,1
489,2003,Pattern Recognition Letters,1994 - 2003,1
490,2002,Hematology Journal,1994 - 2003,1
491,2002,Current Eye Research,1994 - 2003,1
492,2002,British Journal of Ophthalmology,1994 - 2003,1
493,2002,Retina,1994 - 2003,1
494,2002,West African journal of medicine,1994 - 2003,1
495,2001,Journal Francais d'Ophtalmologie,1994 - 2003,1
496,2001,American Journal of Hematology,1994 - 2003,1
497,2001,African journal of medicine and medical sciences,1994 - 2003,1
498,2001,Clinical Medicine,1994 - 2003,1
499,2001,Acta Ophthalmologica Scandinavica,1994 - 2003,1
500,2001,Eye,1994 - 2003,1
501,2001,Seminars in Nephrology,1994 - 2003,1
502,2001,Ophthalmologe,1994 - 2003,1
503,2000,Investigative Ophthalmology and Visual Science,1994 - 2003,1
504,2000,Arquivos Brasileiros de Oftalmologia,1994 - 2003,1
505,2000,Optometry and Vision Science,1994 - 2003,1
506,2000,American Journal of Ophthalmology,1994 - 2003,1
507,2000,Eye (Basingstoke),1994 - 2003,1
508,1999,British Journal of Haematology,1994 - 2003,1
509,1999,Ophthalmology,1994 - 2003,1
510,1999,Blood,1994 - 2003,1
511,1999,American Journal of Hematology,1994 - 2003,1
512,1999,Cleveland Clinic Journal of Medicine,1994 - 2003,1
513,1999,British Journal of Ophthalmology,1994 - 2003,1
514,1998,Survey of Ophthalmology,1994 - 2003,1
515,1998,Current Eye Research,1994 - 2003,1
516,1998,Pediatric Annals,1994 - 2003,1
517,1998,Annales Nestle,1994 - 2003,1
518,1998,Japanese Journal of Clinical Ophthalmology,1994 - 2003,1
519,1997,"Eye (London, England)",1994 - 2003,1
520,1997,Investigative Ophthalmology and Visual Science,1994 - 2003,1
521,1997,Journal Francais d'Ophtalmologie,1994 - 2003,1
522,1997,Current Opinion in Ophthalmology,1994 - 2003,1
523,1997,Medical Engineering and Physics,1994 - 2003,1
524,1997,Lancet,1994 - 2003,1
525,1997,American Journal of Ophthalmology,1994 - 2003,1
526,1997,Survey of Ophthalmology,1994 - 2003,1
527,1997,Hemoglobin,1994 - 2003,1
528,1997,Hospital Practice,1994 - 2003,1
529,1996,Journal Francais d'Ophtalmologie,1994 - 2003,1
530,1996,Microvascular Research,1994 - 2003,1
531,1996,British Journal of Haematology,1994 - 2003,1
532,1996,Clinical Eye and Vision Care,1994 - 2003,1
533,1996,Eye,1994 - 2003,1
534,1996,Hematology/Oncology Clinics of North America,1994 - 2003,1
535,1995,Medecine Tropicale,1994 - 2003,1
536,1995,Graefe's Archive for Clinical and Experimental Ophthalmology,1994 - 2003,1
537,1995,Journal of ophthalmic nursing & technology,1994 - 2003,1
538,1995,Retina,1994 - 2003,1
539,1995,Bulletin de la Société belge d'ophtalmologie,1994 - 2003,1
540,1995,British Journal of Ophthalmology,1994 - 2003,1
541,1995,International Ophthalmology,1994 - 2003,1
542,1995,British Journal of Ophthalmology,1994 - 2003,1
543,1995,Eye (Basingstoke),1994 - 2003,1
544,1995,Journal of the American Osteopathic Association,1994 - 2003,1
545,1994,New England Journal of Medicine,1994 - 2003,1
546,1994,New England Journal of Medicine,1994 - 2003,1
547,1994,American Journal of Pathology,1994 - 2003,1
548,1994,"Metabolic, pediatric, and systemic ophthalmology (New York, N.Y. : 1985)",1994 - 2003,1
549,1994,Eye (Basingstoke),1994 - 2003,1
550,1994,Journal of the National Medical Association,1994 - 2003,1
551,1994,American Family Physician,1994 - 2003,1
552,1994,Current Eye Research,1994 - 2003,1
553,1994,Current Opinion in Ophthalmology,1994 - 2003,1
554,1994,Canadian Journal of Ophthalmology,1994 - 2003,1
555,1994,Investigative Ophthalmology and Visual Science,1994 - 2003,1
556,1994,British Journal of Ophthalmology,1994 - 2003,1
557,1993,Ophthalmic Surgery,1984 - 1993,1
558,1993,Acta clinica Belgica,1984 - 1993,1
559,1993,Eye (Basingstoke),1984 - 1993,1
560,1993,British Journal of Ophthalmology,1984 - 1993,1
561,1993,Experientia,1984 - 1993,1
562,1993,Emergency Medicine Clinics of North America,1984 - 1993,1
563,1993,Archives of Ophthalmology,1984 - 1993,1
564,1993,Ophthalmology,1984 - 1993,1
565,1992,Transactions of the American Ophthalmological Society,1984 - 1993,1
566,1992,Annali di Ottalmologia e Clinica Oculistica,1984 - 1993,1
567,1992,American Journal of Ophthalmology,1984 - 1993,1
568,1992,Current Opinion in Ophthalmology,1984 - 1993,1
569,1992,American Journal of Hematology,1984 - 1993,1
570,1991,Insight (American Society of Ophthalmic Registered Nurses),1984 - 1993,1
571,1991,Graefe's Archive for Clinical and Experimental Ophthalmology,1984 - 1993,1
572,1991,Seminars in Hematology,1984 - 1993,1
573,1991,JAMA: The Journal of the American Medical Association,1984 - 1993,1
574,1991,Current Opinion in Ophthalmology,1984 - 1993,1
575,1991,International Ophthalmology,1984 - 1993,1
576,1991,British Journal of Ophthalmology,1984 - 1993,1
577,1991,Archives of Ophthalmology,1984 - 1993,1
578,1991,Eye (Basingstoke),1984 - 1993,1
579,1991,Eye (Basingstoke),1984 - 1993,1
580,1991,Indian journal of ophthalmology,1984 - 1993,1
581,1991,British Journal of Ophthalmology,1984 - 1993,1
582,1991,Annals of Vascular Surgery,1984 - 1993,1
583,1991,Archives of Ophthalmology,1984 - 1993,1
584,1991,Ophthalmology,1984 - 1993,1
585,1991,Blood,1984 - 1993,1
586,1991,Medical Hypotheses,1984 - 1993,1
587,1990,African Journal of Medicine and Medical Sciences,1984 - 1993,1
588,1990,Annals of ophthalmology,1984 - 1993,1
589,1990,Nederlands Tijdschrift voor Geneeskunde,1984 - 1993,1
590,1990,Eye (Basingstoke),1984 - 1993,1
591,1990,Hemoglobin,1984 - 1993,1
592,1990,Archives of Ophthalmology,1984 - 1993,1
593,1990,British Journal of Ophthalmology,1984 - 1993,1
594,1990,British Journal of Ophthalmology,1984 - 1993,1
595,1990,British Journal of Ophthalmology,1984 - 1993,1
596,1990,Annals of Tropical Paediatrics,1984 - 1993,1
597,1990,Drugs,1984 - 1993,1
598,1990,Archives of Ophthalmology,1984 - 1993,1
599,1989,Revue de Chirurgie Orthopedique et Reparatrice de l'Appareil Moteur,1984 - 1993,1
600,1989,Annals of ophthalmology,1984 - 1993,1
601,1989,Archives of Ophthalmology,1984 - 1993,1
602,1989,Annals of ophthalmology,1984 - 1993,1
603,1989,Archives of Ophthalmology,1984 - 1993,1
604,1989,Annals of the New York Academy of Sciences,1984 - 1993,1
605,1989,Advances in experimental medicine and biology,1984 - 1993,1
606,1988,Journal of the American Optometric Association,1984 - 1993,1
607,1988,Graefe's Archive for Clinical and Experimental Ophthalmology,1984 - 1993,1
608,1988,American Journal of Ophthalmology,1984 - 1993,1
609,1988,"Bulletin des societes d""ophtalmologie de France",1984 - 1993,1
610,1988,Annals of ophthalmology,1984 - 1993,1
611,1988,Eye (Basingstoke),1984 - 1993,1
612,1988,Retina,1984 - 1993,1
613,1988,British Journal of Ophthalmology,1984 - 1993,1
614,1988,Archives of Ophthalmology,1984 - 1993,1
615,1988,Ophthalmologica,1984 - 1993,1
616,1987,Transactions of the American Ophthalmological Society,1984 - 1993,1
617,1987,International Ophthalmology,1984 - 1993,1
618,1987,American Journal of Ophthalmology,1984 - 1993,1
619,1987,American journal of ophthalmology,1984 - 1993,1
620,1987,Pediatric Clinics of North America,1984 - 1993,1
621,1987,Archives of Ophthalmology,1984 - 1993,1
622,1987,Archives of Ophthalmology,1984 - 1993,1
623,1987,Drugs,1984 - 1993,1
624,1987,Ophthalmologica,1984 - 1993,1
625,1987,British Journal of Ophthalmology,1984 - 1993,1
626,1987,Archives of Ophthalmology,1984 - 1993,1
627,1987,Clinical Hemorheology,1984 - 1993,1
628,1987,Archives of Ophthalmology,1984 - 1993,1
629,1987,Archives of Ophthalmology,1984 - 1993,1
630,1987,Drugs,1984 - 1993,1
631,1987,Ophthalmic Surgery,1984 - 1993,1
632,1987,British Journal of Ophthalmology,1984 - 1993,1
633,1987,Ophthalmic Surgery,1984 - 1993,1
634,1987,Ophthalmic Surgery,1984 - 1993,1
635,1987,Archives of Ophthalmology,1984 - 1993,1
636,1987,Bulletin de la Société belge d'ophtalmologie,1984 - 1993,1
637,1986,Transactions of the Ophthalmological Societies of the United Kingdom,1984 - 1993,1
638,1986,International Ophthalmology,1984 - 1993,1
639,1986,Ophthalmology,1984 - 1993,1
640,1986,Ophthalmology,1984 - 1993,1
641,1986,Ophthalmic Surgery,1984 - 1993,1
642,1986,British Journal of Ophthalmology,1984 - 1993,1
643,1986,Annals of Ophthalmology,1984 - 1993,1
644,1986,British Journal of Ophthalmology,1984 - 1993,1
645,1986,Transactions - Pennsylvania Academy of Ophthalmology and Otolaryngology,1984 - 1993,1
646,1985,Transactions - Pennsylvania Academy of Ophthalmology and Otolaryngology,1984 - 1993,1
647,1985,Journal of Pediatric Hematology/Oncology,1984 - 1993,1
648,1985,British Journal of Ophthalmology,1984 - 1993,1
649,1985,Klinische Monatsblatter fur Augenheilkunde,1984 - 1993,1
650,1984,British Journal of Ophthalmology,1984 - 1993,1
651,1984,Ophthalmology,1984 - 1993,1
652,1984,British Journal of Ophthalmology,1984 - 1993,1
653,1984,Archives of Neurology,1984 - 1993,1
654,1984,Journal of Ocular Therapy and Surgery,1984 - 1993,1
655,1984,Archives of Ophthalmology,1984 - 1993,1
656,1983,American Journal of Veterinary Research,1974 - 1983,1
657,1983,Annales de Medecine Interne,1974 - 1983,1
658,1983,Journal of Pediatric Hematology/Oncology,1974 - 1983,1
659,1983,British Journal of Ophthalmology,1974 - 1983,1
660,1983,British Journal of Haematology,1974 - 1983,1
661,1983,Revue d'Oto-Neuro-Ophthalmologie,1974 - 1983,1
662,1983,Klinische Monatsblatter fur Augenheilkunde,1974 - 1983,1
663,1983,Transactions of the New Orleans Academy of Ophthalmology,1974 - 1983,1
664,1983,Ophthalmology,1974 - 1983,1
665,1983,Ophthalmology,1974 - 1983,1
666,1983,American Journal of Ophthalmology,1974 - 1983,1
667,1983,Ophthalmology,1974 - 1983,1
668,1982,Retina,1974 - 1983,1
669,1982,American Journal of Ophthalmology,1974 - 1983,1
670,1982,Optometry and Vision Science,1974 - 1983,1
671,1982,Hospitals,1974 - 1983,1
672,1982,British Journal of Ophthalmology,1974 - 1983,1
673,1982,Archives of Ophthalmology,1974 - 1983,1
674,1982,American Journal of Ophthalmology,1974 - 1983,1
675,1982,American Journal of Ophthalmology,1974 - 1983,1
676,1982,American Journal of Hematology,1974 - 1983,1
677,1982,Bulletins et Memoires de la Societe Francaise d'Ophtalmologie,1974 - 1983,1
678,1981,Clinics in Haematology,1974 - 1983,1
679,1981,Medecine d'Afrique Noire,1974 - 1983,1
680,1981,British Journal of Ophthalmology,1974 - 1983,1
681,1981,Transactions of the Ophthalmological Societies of the United Kingdom,1974 - 1983,1
682,1981,Diabetes care,1974 - 1983,1
683,1981,International ophthalmology clinics,1974 - 1983,1
684,1981,American Journal of Ophthalmology,1974 - 1983,1
685,1981,British Journal of Ophthalmology,1974 - 1983,1
686,1981,Archives of Ophthalmology,1974 - 1983,1
687,1981,Annals of Ophthalmology,1974 - 1983,1
688,1981,Archives of Ophthalmology,1974 - 1983,1
689,1981,British Journal of Ophthalmology,1974 - 1983,1
690,1981,Mount Sinai Journal of Medicine,1974 - 1983,1
691,1980,Transactions of the Ophthalmological Societies of the United Kingdom,1974 - 1983,1
692,1980,Transactions of the Ophthalmological Societies of the United Kingdom,1974 - 1983,1
693,1980,Journal of the American Optometric Association,1974 - 1983,1
694,1980,Southern Medical Journal,1974 - 1983,1
695,1980,American Journal of Ophthalmology,1974 - 1983,1
696,1980,Archives of Ophthalmology,1974 - 1983,1
697,1980,British Journal of Ophthalmology,1974 - 1983,1
698,1980,British Journal of Ophthalmology,1974 - 1983,1
699,1980,Archives of Ophthalmology,1974 - 1983,1
700,1980,Survey of Ophthalmology,1974 - 1983,1
701,1979,Annals of Ophthalmology,1974 - 1983,1
702,1979,Annals of Ophthalmology,1974 - 1983,1
703,1979,Survey of Ophthalmology,1974 - 1983,1
704,1979,British Journal of Ophthalmology,1974 - 1983,1
705,1979,British Journal of Ophthalmology,1974 - 1983,1
706,1979,Archives of Ophthalmology,1974 - 1983,1
707,1979,British Journal of Ophthalmology,1974 - 1983,1
708,1979,American Journal of Ophthalmology,1974 - 1983,1
709,1978,Canadian Journal of Ophthalmology,1974 - 1983,1
710,1978,Annals of Ophthalmology,1974 - 1983,1
711,1978,New England Journal of Medicine,1974 - 1983,1
712,1978,New England Journal of Medicine,1974 - 1983,1
713,1978,Ophthalmology,1974 - 1983,1
714,1978,Archives of Ophthalmology,1974 - 1983,1
715,1978,Medecine Tropicale,1974 - 1983,1
716,1978,American Journal of Ophthalmology,1974 - 1983,1
717,1977,Klinische Monatsblatter fur Augenheilkunde,1974 - 1983,1
718,1977,Transactions of the Ophthalmological Societies of the United Kingdom,1974 - 1983,1
719,1977,Journal of the National Medical Association,1974 - 1983,1
720,1977,Transactions - American Academy of Ophthalmology and Otolaryngology,1974 - 1983,1
721,1977,Archives of Internal Medicine,1974 - 1983,1
722,1977,Transactions of the American Academy of Ophthalmology and Otolaryngology,1974 - 1983,1
723,1977,American Journal of Ophthalmology,1974 - 1983,1
724,1977,Archives of Ophthalmology,1974 - 1983,1
725,1977,International Ophthalmology Clinics,1974 - 1983,1
726,1977,Survey of Ophthalmology,1974 - 1983,1
727,1977,Optometry and Vision Science,1974 - 1983,1
728,1977,Klinische Monatsblatter fur Augenheilkunde,1974 - 1983,1
729,1977,Berichte der Deutschen Ophthalmologischen Gesellschaft,1974 - 1983,1
730,1977,Modern problems in ophthalmology,1974 - 1983,1
731,1976,Birth Defects: Original Article Series,1974 - 1983,1
732,1976,Birth Defects: Original Article Series,1974 - 1983,1
733,1976,Transactions of the Ophthalmological Societies of the United Kingdom,1974 - 1983,1
734,1976,METABOL.OPHTHALMOL.,1974 - 1983,1
735,1976,Ophthalmic Surgery,1974 - 1983,1
736,1976,METABOL.OPHTHALMOL.,1974 - 1983,1
737,1976,Albrecht von Graefes Archiv für Klinische und Experimentelle Ophthalmologie,1974 - 1983,1
738,1976,Nigerian medical journal : journal of the Nigeria Medical Association,1974 - 1983,1
739,1976,American Journal of Ophthalmology,1974 - 1983,1
740,1976,Medical Clinics of North America,1974 - 1983,1
741,1976,British Journal of Ophthalmology,1974 - 1983,1
742,1976,American Journal of Ophthalmology,1974 - 1983,1
743,1976,Archives of Ophthalmology,1974 - 1983,1
744,1976,Archives of Ophthalmology,1974 - 1983,1
745,1976,Transactions of the American Academy of Ophthalmology and Otolaryngology,1974 - 1983,1
746,1975,Transactions of the Ophthalmological Societies of the United Kingdom,1974 - 1983,1
747,1975,American Journal of Veterinary Research,1974 - 1983,1
748,1975,Annals of Ophthalmology,1974 - 1983,1
749,1975,Albrecht von Graefes Archiv für Klinische und Experimentelle Ophthalmologie,1974 - 1983,1
750,1975,Documenta Ophthalmologica,1974 - 1983,1
751,1975,American Journal of Ophthalmology,1974 - 1983,1
752,1975,British Journal of Ophthalmology,1974 - 1983,1
753,1975,American Journal of Ophthalmology,1974 - 1983,1
754,1975,American Journal of Ophthalmology,1974 - 1983,1
755,1975,Archives of Ophthalmology,1974 - 1983,1
756,1975,Annales d'Oculistique,1974 - 1983,1
757,1975,Modern problems in ophthalmology,1974 - 1983,1
758,1975,Modern problems in ophthalmology,1974 - 1983,1
759,1974,American Family Physician,1974 - 1983,1
760,1974,Archives of Ophthalmology,1974 - 1983,1
761,1974,Archives of Ophthalmology,1974 - 1983,1
762,1974,Archives of Ophthalmology,1974 - 1983,1
763,1974,British Journal of Ophthalmology,1974 - 1983,1
764,1974,British Journal of Ophthalmology,1974 - 1983,1
765,1974,British Journal of Ophthalmology,1974 - 1983,1
766,1974,American Journal of Ophthalmology,1974 - 1983,1
767,1974,Archives d'Ophtalmologie et Revue Generale d'Ophtalmologie,1974 - 1983,1
768,1973,Maryland State Medical Journal,1964 - 1973,1
769,1973,New York State Journal of Medicine,1964 - 1973,1
770,1973,Archives of Ophthalmology,1964 - 1973,1
771,1973,Archives of Ophthalmology,1964 - 1973,1
772,1973,Transactions of the American Academy of Ophthalmology and Otolaryngology,1964 - 1973,1
773,1973,American Journal of Ophthalmology,1964 - 1973,1
774,1972,The Sight-saving review,1964 - 1973,1
775,1972,Israel Journal of Medical Sciences,1964 - 1973,1
776,1972,American Family Physician,1964 - 1973,1
777,1972,American Journal of Ophthalmology,1964 - 1973,1
778,1972,American Journal of Ophthalmology,1964 - 1973,1
779,1972,American Journal of Ophthalmology,1964 - 1973,1
780,1972,Archives of Ophthalmology,1964 - 1973,1
781,1972,American Journal of Ophthalmology,1964 - 1973,1
782,1971,Transactions - American Academy of Ophthalmology and Otolaryngology,1964 - 1973,1
783,1971,Archives of Ophthalmology,1964 - 1973,1
784,1971,Archives of Internal Medicine,1964 - 1973,1
785,1971,Archives of Ophthalmology,1964 - 1973,1
786,1971,American Journal of Ophthalmology,1964 - 1973,1
787,1970,Transactions of the Ophthalmological Societies of the United Kingdom,1964 - 1973,1
788,1970,Transactions - American Academy of Ophthalmology and Otolaryngology,1964 - 1973,1
789,1969,Documenta Ophthalmologica,1964 - 1973,1
790,1969,Transactions - American Academy of Ophthalmology and Otolaryngology,1964 - 1973,1
791,1967,American Journal of Ophthalmology,1964 - 1973,1
792,1967,The British journal of ophthalmology,1964 - 1973,1
793,1967,Journal of the National Medical Association,1964 - 1973,1
794,1964,Transactions - American Academy of Ophthalmology and Otolaryngology. American Academy of Ophthalmology and Otolaryngology,1964 - 1973,1
795,1963,Belgisch tijdschrift voor geneeskunde,1954 - 1963,1
796,1960,Klinische Monatsblätter für Augenheilkunde und für augenärztliche Fortbildung,1954 - 1963,1
797,1958,The Mississippi doctor,1954 - 1963,1
798,1954,American Journal of Ophthalmology,1954 - 1963,1
